order_id,order_date,channel,vendor,sku,brand,product,qty,unit_price_krw,amount_krw,is_promo
HDH-260301-001,2026-03-01,백화점-현대,현대 무역센터점,TOR-MP-750,토레스,Mas La Plana,6,140000,840000,N
HDH-260301-002,2026-03-01,백화점-현대,현대 더현대서울,CAL-TC-750,칼리테라,Tributo Gran Reserva Carmenere,2,45000,90000,N
HDH-260301-003,2026-03-01,백화점-현대,현대 압구정본점,CHA-PT-750,라샤블리지엔,Petit Chablis,2,45000,90000,N
HDH-260301-004,2026-03-01,백화점-현대,현대 더현대서울,BUR-WV-750,뷔르클린볼프,Wachenheim Village Riesling,2,110000,220000,N
HDH-260301-005,2026-03-01,백화점-현대,현대 압구정본점,BUR-ER-750,뷔르클린볼프,Estate Riesling Trocken,1,80000,80000,N
HDH-260301-006,2026-03-01,백화점-현대,현대 무역센터점,TOK-A6-500,로얄토카이,Aszú 6 Puttonyos,3,120000,360000,N
HDH-260301-006,2026-03-01,백화점-현대,현대 무역센터점,CAL-CR-750,칼리테라,Reserva Carmenere,6,25000,150000,N
HDH-260301-006,2026-03-01,백화점-현대,현대 무역센터점,TOR-GC-750,토레스,Gran Coronas Reserva,2,24900,49800,N
HDH-260301-007,2026-03-01,백화점-현대,현대 무역센터점,TOR-GC-750,토레스,Gran Coronas Reserva,12,24900,298800,N
HDH-260301-007,2026-03-01,백화점-현대,현대 무역센터점,BOL-SC-750,볼링저,Special Cuvée Brut,1,186000,186000,N
HDH-260301-007,2026-03-01,백화점-현대,현대 무역센터점,VIL-CS-750,빌라마리아,Cellar Selection Sauvignon Blanc,1,50000,50000,N
HDH-260301-007,2026-03-01,백화점-현대,현대 무역센터점,CLK-MB-750,샤토클라크,Le Merle Blanc,1,72000,72000,N
GLR-260301-001,2026-03-01,백화점-갤러리아,갤러리아 명품관,CAL-CS-750,칼리테라,Reserva Cabernet,1,25000,25000,N
GLR-260301-002,2026-03-01,백화점-갤러리아,갤러리아 타임월드,CAL-CS-750,칼리테라,Reserva Cabernet,2,25000,50000,N
GLR-260301-003,2026-03-01,백화점-갤러리아,갤러리아 타임월드,CAL-CR-750,칼리테라,Reserva Carmenere,12,25000,300000,N
GLR-260301-004,2026-03-01,백화점-갤러리아,갤러리아 타임월드,CLK-RD-750,샤토클라크,Château Clarke Rouge,6,85000,510000,N
GLR-260301-005,2026-03-01,백화점-갤러리아,갤러리아 타임월드,CAS-CC-750,카스텔라레,Chianti Classico,2,48000,96000,N
HRC-260301-001,2026-03-01,HORECA,그랜드하얏트,JOL-AT-750,파스칼졸리베,Attitude Sauvignon Blanc,1,71800,71800,N
